QID,Ques,Score
83,Windows Practical Ques 83 text format Ques,0
84,Windows Practical Ques 84 text format Ques,0
85,Windows Practical Ques 85 text format Ques,0
86,Windows Practical Ques 86 text format Ques,0
87,Windows Practical Ques 87 text format Ques,0
88,Windows Practical Ques 88 text format Ques,0
89,Windows Practical Ques 89 text format Ques,0
90,Windows Practical Ques 90 text format Ques,0
91,Windows Practical Ques 91 text format Ques,0
92,Windows Practical Ques 92 text format Ques,0
93,Windows Practical Ques 93 text format Ques,0
94,Windows Practical Ques 94 text format Ques,0
95,Windows Practical Ques 95 text format Ques,0
96,Windows Practical Ques 96 text format Ques,0
97,Windows Practical Ques 97 text format Ques,0
98,Windows Practical Ques 98 text format Ques,0
99,Windows Practical Ques 99 text format Ques,0
100,Windows Practical Ques 100 text format Ques,0
101,Windows Practical Ques 101 text format Ques,0
102,Windows Practical Ques 102 text format Ques,0
103,Windows Practical Ques 103 text format Ques,0
104,Windows Practical Ques 104 text format Ques,0
105,Windows Practical Ques 105 text format Ques,0
106,Windows Practical Ques 106 text format Ques,0
107,Windows Practical Ques 107 text format Ques,0
108,Windows Practical Ques 108 text format Ques,0
109,Windows Practical Ques 109 text format Ques,0
110,Windows Practical Ques 110 text format Ques,0
111,Windows Practical Ques 111 text format Ques,0
112,Windows Practical Ques 112 text format Ques,0
113,Windows Practical Ques 113 text format Ques,0
114,Windows Practical Ques 114 text format Ques,0
115,Windows Practical Ques 115 text format Ques,0
116,Windows Practical Ques 116 text format Ques,0
117,Windows Practical Ques 117 text format Ques,0
118,Windows Practical Ques 118 text format Ques,0
119,Windows Practical Ques 119 text format Ques,0
120,Windows Practical Ques 120 text format Ques,0
121,Windows Practical Ques 121 text format Ques,0
122,Windows Practical Ques 122 text format Ques,0
123,Windows Practical Ques 123 text format Ques,0
124,Windows Practical Ques 124 text format Ques,0
125,Windows Practical Ques 125 text format Ques,0
126,Windows Practical Ques 126 text format Ques,0
127,Windows Practical Ques 127 text format Ques,0
128,Windows Practical Ques 128 text format Ques,0
129,Windows Practical Ques 129 text format Ques,0
130,Windows Practical Ques 130 text format Ques,0
131,Windows Practical Ques 131 text format Ques,0
132,Windows Practical Ques 132 text format Ques,0
133,Windows Practical Ques 133 text format Ques,0
134,Windows Practical Ques 134 text format Ques,0
135,Windows Practical Ques 135 text format Ques,0
136,Windows Practical Ques 136 text format Ques,0
137,Windows Practical Ques 137 text format Ques,0
138,Windows Practical Ques 138 text format Ques,0
139,Windows Practical Ques 139 text format Ques,0
140,Windows Practical Ques 140 text format Ques,0
141,Windows Practical Ques 141 text format Ques,0
142,Windows Practical Ques 142 text format Ques,0
143,Windows Practical Ques 143 text format Ques,0
144,Windows Practical Ques 144 text format Ques,0
145,Windows Practical Ques 145 text format Ques,0
146,Windows Practical Ques 146 text format Ques,0
147,Windows Practical Ques 147 text format Ques,0
148,Windows Practical Ques 148 text format Ques,0
149,Windows Practical Ques 149 text format Ques,0
150,Windows Practical Ques 150 text format Ques,0
