QID,Ques,Score
125,Internet Practical Ques 125 text format Ques,0
126,Internet Practical Ques 126 text format Ques,0
127,Internet Practical Ques 127 text format Ques,0
128,Internet Practical Ques 128 text format Ques,0
129,Internet Practical Ques 129 text format Ques,0
130,Internet Practical Ques 130 text format Ques,0
131,Internet Practical Ques 131 text format Ques,0
132,Internet Practical Ques 132 text format Ques,0
133,Internet Practical Ques 133 text format Ques,0
134,Internet Practical Ques 134 text format Ques,0
135,Internet Practical Ques 135 text format Ques,0
136,Internet Practical Ques 136 text format Ques,0
137,Internet Practical Ques 137 text format Ques,0
138,Internet Practical Ques 138 text format Ques,0
139,Internet Practical Ques 139 text format Ques,0
140,Internet Practical Ques 140 text format Ques,0
141,Internet Practical Ques 141 text format Ques,0
142,Internet Practical Ques 142 text format Ques,0
143,Internet Practical Ques 143 text format Ques,0
144,Internet Practical Ques 144 text format Ques,0
145,Internet Practical Ques 145 text format Ques,0
146,Internet Practical Ques 146 text format Ques,0
147,Internet Practical Ques 147 text format Ques,0
148,Internet Practical Ques 148 text format Ques,0
149,Internet Practical Ques 149 text format Ques,0
150,Internet Practical Ques 150 text format Ques,0
